0,0,0
4,2.2,9.59E-02
4,2.6,8.84E-02
4,3,8.39E-02
4,4,7.83E-02
4,5,7.59E-02
4,7,7.39E-02
4,10,7.29E-02
4,30,7.20E-02
4,50,7.20E-02
5,1.4,9.29E-02
5,1.6,8.02E-02
5,2,6.58E-02
5,2.4,5.86E-02
5,3,5.32E-02
5,4,4.94E-02
5,5,4.78E-02
5,7,4.65E-02
5,10,4.59E-02
5,30,4.54E-02
5,50,4.53E-02
6,1.2,8.37E-02
6,1.6,5.84E-02
6,2,4.69E-02
6,2.4,4.11E-02
6,3,3.69E-02
6,4,3.41E-02
6,5,3.29E-02
6,7,3.20E-02
6,10,3.16E-02
6,30,3.12E-02
6,50,3.12E-02
8,0.74,9.68E-02
8,0.8,8.75E-02
8,1,6.60E-02
8,1.6,3.72E-02
8,2,2.85E-02
8,2.4,2.42E-02
8,3,2.12E-02
8,4,1.92E-02
8,5,1.84E-02
8,7,1.79E-02
8,10,1.76E-02
8,20,1.74E-02
8,50,1.74E-02
10,0.56,9.64E-02
10,0.7,7.20E-02
10,1,4.63E-02
10,1.2,3.71E-02
10,2,2.01E-02
10,2.4,1.65E-02
10,3,1.39E-02
10,4,1.24E-02
10,5,1.18E-02
10,7,1.14E-02
10,10,1.12E-02
10,16,1.11E-02
10,50,1.11E-02
15,0.34,9.68E-02
15,0.4,7.70E-02
15,0.6,4.53E-02
15,1,2.44E-02
15,1.2,1.97E-02
15,2,1.09E-02
15,2.4,8.90E-02
15,3,6.91E-03
15,4,5.73E-03
15,5,5.34E-03
15,6,5.16E-03
15,10,4.97E-03
15,40,4.90E-03
15,50,4.90E-03
20,0.24,9.82E-03
20,0.4,4.77E-03
20,0.6,2.86E-03
20,0.8,2.03E-03
20,1,1.56E-03
20,1.2,1.27E-03
20,2,7.13E-03
20,3,4.46E-03
20,3.4,3.88E-03
20,4,3.42E-03
20,5,3.08E-03
20,7,2.87E-03
20,10,2.80E-03
20,40,2.75E-03
20,50,2.75E-03
25,0.2,8.77E-02
25,0.3,4.84E-02
25,0.5,2.50E-02
25,0.8,1.43E-02
25,1,1.11E-02
25,1.2,9.02E-03
25,2,5.08E-03
25,3,3.23E-03
25,3.4,2.78E-03
25,4,2.35E-03
25,4.4,2.19E-03
25,5,2.04E-03
25,6,1.91E-03
25,7,1.86E-03
25,10,1.80E-03
25,30,1.76E-03
25,50,1.76E-03
30,0.16,9.04E-03
30,0.2,6.35E-02
30,0.3,3.57E-02
30,0.4,2.46E-02
30,0.6,1.50E-02
30,0.8,1.08E-02
30,1,8.38E-02
30,1.2,6.83E-03
30,2,3.88E-03
30,3,2.46E-03
30,4,1.77E-03
30,4.4,1.61E-03
30,5,1.47E-03
30,6,1.36E-03
30,7,1.30E-03
30,10,1.25E-03
30,30,1.22E-03
30,50,1.22E-03
40,0.12,8.64E-02
40,0.2,3.85E-02
40,0.3,2.22E-02
40,0.4,1.55E-02
40,0.6,9.58E-03
40,0.8,6.91E-03
40,1,5.39E-03
40,1.2,4.41E-03
40,2,2.52E-03
40,4,1.17E-03
40,5,9.12E-03
40,6,8.04E-04
40,7,7.56E-04
40,8,7.31E-04
40,10,7.08E-04
40,16,6.92E-04
40,40,6.88E-04
40,50,6.88E-04
50,0.08,9.30E-02
50,0.1,7.82E-02
50,0.2,2.63E-02
50,0.3,1.54E-02
50,0.4,1.08E-02
50,0.6,6.77E-02
50,0.8,4.90E-02
50,1,3.84E-03
50,2,1.81E-03
50,4,8.42E-03
50,5,6.52E-03
50,6,5.48E-04
50,7,5.02E-04
50,8,4.78E-04
50,10,4.58E-04
50,12,4.49E-04
50,16,4.44E-04
50,40,4.40E-04
50,50,4.40E-04
60,0.07,9.54E-02
60,0.1,5.56E-02
60,0.14,3.23E-02
60,0.2,1.93E-02
60,0.4,8.12E-03
60,0.6,5.10E-03
60,0.8,3.71E-03
60,1,2.91E-03
60,2,1.38E-03
60,3,8.86E-04
60,4,6.45E-04
60,6,4.09E-04
60,7,3.64E-04
60,8,3.41E-04
60,10,3.22E-04
60,14,3.10E-04
60,40,3.06E-04
60,50,3.06E-04
80,0.05,9.90E-02
80,0.07,6.08E-02
80,0.09,3.91E-02
80,0.1,3.28E-02
80,0.14,1.96E-02
80,0.2,1.20E-02
80,0.24,9.50E-02
80,0.4,5.16E-03
80,0.6,3.28E-03
80,0.8,2.39E-03
80,1,1.88E-03
80,2,8.95E-03
80,4,4.24E-04
80,6.6,2.41E-04
80,8,2.05E-04
80,10,1.86E-04
80,14,1.76E-04
80,30,1.72E-04
80,50,1.72E-04
100,0.05,7.41E-02
100,0.07,3.98E-02
100,0.1,2.20E-02
100,0.14,1.33E-02
100,0.2,8.31E-03
100,0.4,3.64E-03
100,0.5,2.83E-03
100,0.8,1.70E-03
100,1,1.34E-03
100,2,6.41E-04
100,4,3.05E-04
100,6,1.95E-04
100,8,1.42E-04
100,10,1.24E-04
100,14,1.14E-04
100,25,1.10E-04
100,50,1.10E-04
125,0.05,4.80E-02
125,0.06,3.44E-02
125,0.08,2.10E-02
125,0.1,1.48E-02
125,0.14,9.17E-02
125,0.2,5.78E-03
125,0.4,2.57E-03
125,0.6,1.65E-03
125,0.8,1.21E-03
125,1,9.55E-03
125,2,4.59E-04
125,4,2.20E-04
125,6,1.41E-04
125,9,9.04E-04
125,10,8.37E-05
125,12,7.70E-05
125,14,7.40E-05
125,20,7.13E-05
125,40,7.04E-05
125,50,7.04E-05
